# Lines starting '# literal-ok:' annotate the next row for spira/literal-lint.sh; drop them with grep -v '^# literal-ok'.
epoch	batch	mode	suite	status	n_ok	n_fail
1789661014	0067eb4be66b	parallel	test-cockpit-queue.sh	ok	22	0
1789661018	0067eb4be66b	parallel	test-cockpit-unlanded.sh	ok	21	0
1789617863	0068aab6196f	serial	test-watchd-halt-health.sh	red	6	1
1789617862	0068aab6196f	serial	test-watchd-tail.sh	red	7	8
1789501102	00f0f04d9016	parallel	test-release-workflow.sh	ok	9	0
1789501102	00f0f04d9016	parallel	test-gate-workflow.sh	ok	16	0
1789521282	00f1bc5a7dcb	parallel	test-cockpit-runtime-path.sh	ok	8	0
1789521282	00f1bc5a7dcb	parallel	test-cockpit-remote.sh	ok	14	0
1789600960	01bb04cbfb98	parallel	test-citations.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-gate-sweep.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-certify.sh	red	0	0
1789600958	01bb04cbfb98	parallel	test-answers-silent-seed.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-beads-push-verify.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-gate-verdict.sh	red	0	0
1789600958	01bb04cbfb98	parallel	test-ask-help.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-gate-check-stuck.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-loom.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-check5-delivers-check.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-host-reason.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-sop.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-sending-unlanded-guard.sh	red	0	0
1789600966	01bb04cbfb98	parallel	test-testenv-systemctl.sh	red	0	0
1789600964	01bb04cbfb98	parallel	test-null-close-reason.sh	red	0	0
1789600964	01bb04cbfb98	parallel	test-output-visibility.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-build-tarball.sh	red	0	0
1789600961	01bb04cbfb98	parallel	test-doctor-embedded.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-mail-deliver.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-schema-apply.sh	red	0	0
1789600964	01bb04cbfb98	parallel	test-poison.sh	red	0	0
1789600968	01bb04cbfb98	parallel	test-aeon-ledger.sh	unreached	0	0
1789600961	01bb04cbfb98	parallel	test-doctor-bd-tag.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-maechen.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-install-unit-directive.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-sending-landstate-assert.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-cadence.sh	red	0	0
1789600967	01bb04cbfb98	parallel	test-timer-templates.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-incident-cause.sh	red	0	0
1789600964	01bb04cbfb98	parallel	test-promote.sh	red	0	0
1789600958	01bb04cbfb98	parallel	test-attempts.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-install-aeons.sh	red	0	0
# literal-ok: measurement data; the configured name is part of a suite FILENAME harvested from this tree, not a label read here.
1789600958	01bb04cbfb98	parallel	test-aeon-world-stop.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-incident-recur-cause.sh	red	0	0
1789600962	01bb04cbfb98	parallel	test-install-halt.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-census-watermark.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-scratch-fence.sh	red	0	0
1789600961	01bb04cbfb98	parallel	test-fayth.sh	red	0	0
1789600961	01bb04cbfb98	parallel	test-doctor-cargo.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-boundary.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-sending-metrics.sh	red	0	0
1789600960	01bb04cbfb98	parallel	test-check5-sweep-delivers.sh	red	0	0
1789600960	01bb04cbfb98	parallel	test-cockpit-landed.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-landing-race.sh	red	0	0
1789600959	01bb04cbfb98	parallel	test-bd-remember-guard.sh	red	0	0
1789600947	01bb04cbfb98	parallel	test-aeon-lease.sh	ok	15	0
1789600961	01bb04cbfb98	parallel	test-doctor-goal.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-maechen-blind-window.sh	red	0	0
1789600965	01bb04cbfb98	parallel	test-strand-partition.sh	red	0	0
1789600964	01bb04cbfb98	parallel	test-priority-bands.sh	red	0	0
1789600963	01bb04cbfb98	parallel	test-model-switch-report.sh	red	0	0
1789600964	01bb04cbfb98	parallel	test-owned.sh	red	0	0
1789600960	01bb04cbfb98	parallel	test-configure.sh	red	0	0
